Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
18142,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,CCMSLIB00009948367,CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)O)N,0.180445358,1.0,0.5,1.0,0.5
1762,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0167005,O=C1C=C(OC2=C1C(O)=CC3=CC4=C(C(=O)CC4O)C(OC)=C32)C,0.686658643,4.0,0.108108108,4.0,0.666666667
18147,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00010004857,CC(C)[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,0.655942954,13.0,0.722222222,13.0,0.823529412
18152,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CCMSLIB00004704772,CC(C)=C(N=C(O)c1ccccc1)C(O)=NCCc1c(C)[nH]c2ccccc12,0.845008226,7.0,0.291666667,7.0,0.318181818
1773,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0130426,O=C1C2=C(O)C=C3OC(C=CC3=C2OC4=CC=C(O)C(O)=C14)(C)C,0.811375022,2.0,0.054054054,2.0,0.71875
9971,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0140593,O=C(C)CCC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1,0.366113102,16.0,0.172043011,16.0,0.714285714
1784,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0135822,O=C1C=2C=CC=C(O)C2C=3C(O)=CC=4C(=O)C(C)C(O)C(O)C4C13,0.642600015,2.0,0.054054054,2.0,0.666666667
9978,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0121930,O=C(OC)C=C(C=CC1(O)C2(OC(=O)C1(C)CC(O)C2)C)CO,0.299047478,8.0,0.086021505,8.0,0.371428571
1787,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0149298,O=C1C=2C(O)=CC=CC2OC3=CC=C4OC(CC4=C13)C5(OC5)CO,0.642600015,2.0,0.054054054,2.0,0.75
1788,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0149365,O=C1C2=CC(O)=CC=C2OC3=C(O)C=4OC(C=CC4C(O)=C13)(C)C,0.699311811,3.0,0.081081081,3.0,0.666666667
1792,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0151649,O=C(O)C1=CC=C(OC=2C(=O)C3=CC=C(OC)C=C3OC2C)C=C1,0.642600015,2.0,0.054054054,2.0,0.741935484
1793,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0152007,O=C1C=2C=C(OC)C=C(O)C2C(=O)C3=C(O)C=C(C=C13)CC(=O)C,0.642600015,2.0,0.054054054,2.0,0.636363636
1794,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0152656,O=C(O)C1=C(O)C=C2C(=O)C=3C=CC=C(O)C3C(=O)C2=C1CCC,0.642600015,2.0,0.054054054,2.0,0.741935484
18190,85,CC1(C)CCC[C@@]2(C)[C@@]1([H])[C@H](O)C=C(C)[C@]2(O)C=O,275.1616516,CCMSLIB00000848240,CC(C)C(CCC(O)=O)\C=C\C(=C)CCC(C)=O,0.8875705,1.0,0.2,1.0,0.44
1811,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0109816,O=C1C2=CC=C(O)C(O)=C2OC3=C4C=CC(OC4=CC(O)=C13)(C)C,0.811375022,2.0,0.054054054,2.0,0.666666667
18195,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00009998179,CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H]1CCCN1,0.723732257,10.0,0.555555556,10.0,0.882352941
18197,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007050,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,0.950051116,13.0,0.722222222,13.0,1.0
18198,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007049,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,0.893774957,15.0,0.833333333,15.0,1.0
18199,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007046,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,0.882704006,10.0,0.555555556,10.0,1.0
